Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-26,8.0,-0.28498796103317525,-0.28498796103317525
2025-03-31,11.5,0.490992224600106,0.490992224600106
2025-04-01,9.0,-0.06327933656652349,-0.06327933656652349
2025-04-02,21.5,2.7080784692666238,2.7080784692666238
2025-04-03,13.5,0.9344094735334096,0.9344094735334096
2025-04-04,21.0,2.597224157033298,2.597224157033298
2025-04-07,20.0,2.3755155325666464,2.3755155325666464
2025-04-08,24.5,3.3732043426665794,3.3732043426665794
2025-04-09,20.0,2.3755155325666464,2.3755155325666464
2025-04-14,10.5,0.2692836001334542,0.2692836001334542
2025-04-15,15.0,1.2669724102333872,1.2669724102333872
2025-04-16,17.0,1.710389659166691,1.710389659166691
2025-04-17,11.0,0.38013791236678013,0.38013791236678013
2025-04-21,18.5,2.0429525958666686,2.0429525958666686
