Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-05,5.0,3.639717919921163,3.639717919921163
2025-03-06,0.9375,0.036881137545214215,0.036881137545214215
2025-03-09,1.25,0.3140224284972103,0.3140224284972103
2025-03-10,1.8125,0.8128767522108031,0.8128767522108031
2025-03-11,0.625,-0.24026015340678183,-0.24026015340678183
2025-03-16,2.6875,1.5888723668763922,1.5888723668763922
2025-03-17,0.6875,-0.18483189521638263,-0.18483189521638263
2025-03-18,0.3125,-0.5174014443587779,-0.5174014443587779
2025-03-19,0.5,-0.35111666978758027,-0.35111666978758027
2025-03-20,0.4375,-0.4065449279779795,-0.4065449279779795
2025-03-23,0.8125,-0.07397537883558421,-0.07397537883558421
2025-03-24,0.5625,-0.29568841159718107,-0.29568841159718107
2025-03-25,0.4375,-0.4065449279779795,-0.4065449279779795
