Date,"Volatility of Returns (Session:All day, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-01-02,8.5,0.2650185946620192,0.2650185946620192
2025-01-03,7.25,0.0018171055981911063,0.0018171055981911063
2025-01-05,2.5,-0.9983485528443556,-0.9983485528443556
2025-01-06,7.5,0.05445740341095672,0.05445740341095672
2025-01-07,8.0,0.15973799903648797,0.15973799903648797
2025-01-08,7.5,0.05445740341095672,0.05445740341095672
2025-01-09,5.75,-0.3140246812784026,-0.3140246812784026
2025-01-12,4.5,-0.5772261703422307,-0.5772261703422307
2025-01-13,6.25,-0.20874408565287136,-0.20874408565287136
2025-01-16,12.0,1.001982764040738,1.001982764040738
2025-01-17,7.254028320312273,0.0026653135218840823,0.0026653135218840823
2025-01-19,2.5,-0.9983485528443556,-0.9983485528443556
2025-01-20,13.75,1.3704648487300972,1.3704648487300972
2025-01-21,4.75,-0.5245858725294651,-0.5245858725294651
2025-01-22,7.0,-0.050823192214574514,-0.050823192214574514
2025-01-23,6.5,-0.15610378784010576,-0.15610378784010576
2025-01-24,6.75,-0.10346349002734014,-0.10346349002734014
2025-01-26,11.5,0.8967021684152066,0.8967021684152066
2025-01-27,9.25,0.42293948810031606,0.42293948810031606
2025-01-28,7.75,0.10709770122372234,0.10709770122372234
2025-01-29,9.75,0.5282200837258473,0.5282200837258473
2025-02-02,9.5,0.47557978591308164,0.47557978591308164
2025-02-03,8.0,0.15973799903648797,0.15973799903648797
2025-02-04,9.5,0.47557978591308164,0.47557978591308164
2025-02-05,11.5,0.8967021684152066,0.8967021684152066
2025-02-06,4.75,-0.5245858725294651,-0.5245858725294651
2025-02-09,2.75,-0.9457082550315901,-0.9457082550315901
2025-02-10,5.5,-0.36666497909116824,-0.36666497909116824
2025-02-11,6.25,-0.20874408565287136,-0.20874408565287136
2025-02-14,10.75,0.7387812749769097,0.7387812749769097
2025-02-16,2.75,-0.9457082550315901,-0.9457082550315901
2025-02-17,3.75,-0.7351470637805275,-0.7351470637805275
2025-02-18,6.25,-0.20874408565287136,-0.20874408565287136
2025-02-19,7.0,-0.050823192214574514,-0.050823192214574514
2025-02-20,5.0,-0.47194557471669946,-0.47194557471669946
2025-02-21,10.25,0.6335006793513785,0.6335006793513785
2025-02-23,1.5,-1.2089097440954182,-1.2089097440954182
