Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-25,4.75,0.7696132506082822,0.7696132506082822
2025-02-26,3.0,0.06874215442326402,0.06874215442326402
2025-03-02,3.0,0.06874215442326402,0.06874215442326402
2025-03-03,5.75,1.170111019856864,1.170111019856864
2025-03-04,5.25,0.9698621352325731,0.9698621352325731
2025-03-05,5.75,1.170111019856864,1.170111019856864
2025-03-06,3.5,0.26899103904755495,0.26899103904755495
2025-03-09,4.0,0.46923992367184586,0.46923992367184586
2025-03-10,6.75,1.5706087891054459,1.5706087891054459
2025-03-11,2.75,-0.031382287888881436,-0.031382287888881436
2025-03-16,3.5,0.26899103904755495,0.26899103904755495
2025-03-17,2.75,-0.031382287888881436,-0.031382287888881436
2025-03-18,1.75,-0.43188005713746325,-0.43188005713746325
