Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-21,1.125,0.05265183464246715,0.05265183464246715
2025-03-24,0.5625,-0.4628704893123126,-0.4628704893123126
2025-03-25,1.0,-0.061908681791928356,-0.061908681791928356
2025-03-26,0.6875,-0.34830997287791715,-0.34830997287791715
2025-03-31,1.5,0.39633338394565365,0.39633338394565365
2025-04-01,1.0,-0.061908681791928356,-0.061908681791928356
2025-04-02,1.5,0.39633338394565365,0.39633338394565365
2025-04-03,1.8125,0.6827346750316424,0.6827346750316424
2025-04-04,4.9375,3.5467475858915303,3.5467475858915303
2025-04-07,5.9375,4.463231717366694,4.463231717366694
2025-04-08,2.0625,0.9118557079004335,0.9118557079004335
2025-04-09,2.6875,1.484658290072411,1.484658290072411
2025-04-14,1.5625,0.45361364216285144,0.45361364216285144
