Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-04-29,3.5,-0.11271859762753457,-0.11271859762753457
2025-05-01,6.25,1.0732015518570086,1.0732015518570086
2025-05-05,2.5,-0.5439622883491867,-0.5439622883491867
2025-05-06,5.5,0.7497687838157696,0.7497687838157696
2025-05-07,5.5,0.7497687838157696,0.7497687838157696
2025-05-08,10.25,2.798176314743617,2.798176314743617
2025-05-09,3.75,-0.004907674947121544,-0.004907674947121544
2025-05-12,2.25,-0.6517732110295997,-0.6517732110295997
2025-05-14,5.5,0.7497687838157696,0.7497687838157696
2025-05-16,5.0,0.5341469384549435,0.5341469384549435
2025-05-19,5.25,0.6419578611353566,0.6419578611353566
2025-05-20,3.25,-0.2205295203079476,-0.2205295203079476
2025-05-21,7.0,1.3966343198982478,1.3966343198982478
2025-05-22,4.75,0.42633601577453056,0.42633601577453056
2025-05-23,2.5,-0.5439622883491867,-0.5439622883491867
2025-05-26,1.25,-1.0830169017512519,-1.0830169017512519
2025-05-27,3.75,-0.004907674947121544,-0.004907674947121544
2025-05-28,2.5,-0.5439622883491867,-0.5439622883491867
2025-06-02,1.0,-1.1908278244316648,-1.1908278244316648
2025-06-03,4.25,0.2107141704137045,0.2107141704137045
2025-06-04,3.25,-0.2205295203079476,-0.2205295203079476
2025-06-05,7.5,1.612256165259074,1.612256165259074
2025-06-09,4.25,0.2107141704137045,0.2107141704137045
2025-06-10,3.75,-0.004907674947121544,-0.004907674947121544
2025-06-13,7.0,1.3966343198982478,1.3966343198982478
2025-06-16,5.0,0.5341469384549435,0.5341469384549435
2025-06-17,6.5,1.1810124745374218,1.1810124745374218
2025-06-18,5.75,0.8575797064961826,0.8575797064961826
2025-06-19,1.25,-1.0830169017512519,-1.0830169017512519
2025-06-20,7.5,1.612256165259074,1.612256165259074
2025-06-23,4.5,0.31852509309411753,0.31852509309411753
2025-06-24,3.25,-0.2205295203079476,-0.2205295203079476
2025-06-25,5.5,0.7497687838157696,0.7497687838157696
2025-06-30,5.0,0.5341469384549435,0.5341469384549435
2025-07-01,3.25,-0.2205295203079476,-0.2205295203079476
2025-07-02,3.0,-0.3283404429883606,-0.3283404429883606
2025-07-04,2.75,-0.43615136566877366,-0.43615136566877366
2025-07-07,3.0,-0.3283404429883606,-0.3283404429883606
2025-07-08,1.5,-0.9752059790708387,-0.9752059790708387
2025-07-09,5.5,0.7497687838157696,0.7497687838157696
2025-07-10,1.25,-1.0830169017512519,-1.0830169017512519
2025-07-11,2.75,-0.43615136566877366,-0.43615136566877366
2025-07-14,3.5,-0.11271859762753457,-0.11271859762753457
2025-07-17,3.75,-0.004907674947121544,-0.004907674947121544
2025-07-18,2.75,-0.43615136566877366,-0.43615136566877366
2025-07-21,1.75,-0.8673950563904257,-0.8673950563904257
2025-07-22,2.0,-0.7595841337100127,-0.7595841337100127
2025-07-23,3.75,-0.004907674947121544,-0.004907674947121544
2025-07-24,2.25,-0.6517732110295997,-0.6517732110295997
2025-07-25,4.25,0.2107141704137045,0.2107141704137045
2025-07-28,2.0,-0.7595841337100127,-0.7595841337100127
2025-07-29,4.0,0.10290324773329147,0.10290324773329147
2025-08-04,5.25,0.6419578611353566,0.6419578611353566
2025-08-05,3.0,-0.3283404429883606,-0.3283404429883606
2025-08-06,2.5,-0.5439622883491867,-0.5439622883491867
2025-08-07,1.75,-0.8673950563904257,-0.8673950563904257
2025-08-08,1.25,-1.0830169017512519,-1.0830169017512519
2025-08-11,3.0,-0.3283404429883606,-0.3283404429883606
2025-08-13,2.25,-0.6517732110295997,-0.6517732110295997
2025-08-15,4.75,0.42633601577453056,0.42633601577453056
2025-08-18,2.0,-0.7595841337100127,-0.7595841337100127
2025-08-19,2.0,-0.7595841337100127,-0.7595841337100127
2025-08-20,2.75,-0.43615136566877366,-0.43615136566877366
2025-08-21,3.0,-0.3283404429883606,-0.3283404429883606
2025-08-22,2.75,-0.43615136566877366,-0.43615136566877366
2025-08-25,3.0,-0.3283404429883606,-0.3283404429883606
2025-08-26,4.0,0.10290324773329147,0.10290324773329147
2025-08-27,6.5,1.1810124745374218,1.1810124745374218
2025-09-02,3.25,-0.2205295203079476,-0.2205295203079476
2025-09-03,3.0,-0.3283404429883606,-0.3283404429883606
2025-09-04,3.75,-0.004907674947121544,-0.004907674947121544
2025-09-08,3.25,-0.2205295203079476,-0.2205295203079476
2025-09-12,3.75,-0.004907674947121544,-0.004907674947121544
2025-09-15,1.75,-0.8673950563904257,-0.8673950563904257
2025-09-16,3.0,-0.3283404429883606,-0.3283404429883606
2025-09-17,7.25,1.5044452425786607,1.5044452425786607
2025-09-18,4.0,0.10290324773329147,0.10290324773329147
2025-09-19,3.0,-0.3283404429883606,-0.3283404429883606
2025-09-22,2.25,-0.6517732110295997,-0.6517732110295997
2025-09-23,4.25,0.2107141704137045,0.2107141704137045
2025-09-24,2.25,-0.6517732110295997,-0.6517732110295997
2025-09-29,1.75,-0.8673950563904257,-0.8673950563904257
2025-09-30,5.0,0.5341469384549435,0.5341469384549435
2025-10-01,3.5,-0.11271859762753457,-0.11271859762753457
2025-10-02,2.25,-0.6517732110295997,-0.6517732110295997
2025-10-06,3.25,-0.2205295203079476,-0.2205295203079476
2025-10-07,1.5,-0.9752059790708387,-0.9752059790708387
2025-10-08,1.5,-0.9752059790708387,-0.9752059790708387
2025-10-09,1.75,-0.8673950563904257,-0.8673950563904257
2025-10-10,7.75,1.7200670879394868,1.7200670879394868
2025-10-13,3.0,-0.3283404429883606,-0.3283404429883606
2025-10-14,3.5,-0.11271859762753457,-0.11271859762753457
2025-10-17,2.75,-0.43615136566877366,-0.43615136566877366
2025-10-20,2.0,-0.7595841337100127,-0.7595841337100127
2025-10-21,2.5,-0.5439622883491867,-0.5439622883491867
2025-10-22,3.5,-0.11271859762753457,-0.11271859762753457
2025-10-23,3.0,-0.3283404429883606,-0.3283404429883606
2025-10-27,4.25,0.2107141704137045,0.2107141704137045
2025-10-28,2.0,-0.7595841337100127,-0.7595841337100127
2025-10-29,9.25,2.366932624021965,2.366932624021965
2025-11-03,1.75,-0.8673950563904257,-0.8673950563904257
2025-11-04,1.75,-0.8673950563904257,-0.8673950563904257
2025-11-05,2.5,-0.5439622883491867,-0.5439622883491867
2025-11-06,2.0,-0.7595841337100127,-0.7595841337100127
2025-11-10,2.5,-0.5439622883491867,-0.5439622883491867
2025-11-11,2.75,-0.43615136566877366,-0.43615136566877366
2025-11-12,1.5,-0.9752059790708387,-0.9752059790708387
2025-11-17,2.5,-0.5439622883491867,-0.5439622883491867
2025-11-18,3.75,-0.004907674947121544,-0.004907674947121544
2025-11-19,4.0,0.10290324773329147,0.10290324773329147
2025-11-21,4.5,0.31852509309411753,0.31852509309411753
2025-11-24,3.25,-0.2205295203079476,-0.2205295203079476
2025-11-28,3.5,-0.11271859762753457,-0.11271859762753457
2025-12-01,3.25,-0.2205295203079476,-0.2205295203079476
2025-12-02,4.5,0.31852509309411753,0.31852509309411753
2025-12-03,4.5,0.31852509309411753,0.31852509309411753
2025-12-04,4.25,0.2107141704137045,0.2107141704137045
2025-12-08,4.0,0.10290324773329147,0.10290324773329147
2025-12-09,2.75,-0.43615136566877366,-0.43615136566877366
2025-12-10,5.25,0.6419578611353566,0.6419578611353566
2025-12-12,4.0,0.10290324773329147,0.10290324773329147
2025-12-15,1.25,-1.0830169017512519,-1.0830169017512519
2025-12-17,1.75,-0.8673950563904257,-0.8673950563904257
2025-12-19,3.25,-0.2205295203079476,-0.2205295203079476
2025-12-22,1.5,-0.9752059790708387,-0.9752059790708387
2025-12-24,0.75,-1.2986387471120777,-1.2986387471120777
2025-12-26,2.75,-0.43615136566877366,-0.43615136566877366
2025-12-29,2.5,-0.5439622883491867,-0.5439622883491867
2025-12-30,2.5,-0.5439622883491867,-0.5439622883491867
2025-12-31,5.5,0.7497687838157696,0.7497687838157696
