Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-21,1.1875,-0.1740282025103929,-0.1740282025103929
2025-03-24,0.75,-0.5032707525461638,-0.5032707525461638
2025-03-25,0.8125,-0.4562361025410537,-0.4562361025410537
2025-03-26,1.0,-0.3151321525257233,-0.3151321525257233
2025-03-31,1.6875,0.2022489975304881,0.2022489975304881
2025-04-01,1.1875,-0.1740282025103929,-0.1740282025103929
2025-04-02,2.1875,0.5785261975713691,0.5785261975713691
2025-04-03,2.0625,0.4844568975611489,0.4844568975611489
2025-04-04,6.3125,3.682813097908638,3.682813097908638
2025-04-07,2.625,0.90776874760714,0.90776874760714
2025-04-08,4.3125,2.1777042977451138,2.1777042977451138
2025-04-09,7.875,4.858679348036391,4.858679348036391
2025-04-14,2.5625,0.8607340976020299,0.8607340976020299
