Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-31,6.5,-0.42612245885362005,-0.42612245885362005
2025-04-01,10.0,0.36548478724119177,0.36548478724119177
2025-04-02,10.5,0.47857153668330776,0.47857153668330776
2025-04-03,12.0,0.8178317850096557,0.8178317850096557
2025-04-04,25.0,3.758087270504671,3.758087270504671
2025-04-07,29.0,4.662781266041598,4.662781266041598
2025-04-08,16.0,1.7225257805465835,1.7225257805465835
2025-04-09,50.5,9.525511492052587,9.525511492052587
2025-04-14,10.5,0.47857153668330776,0.47857153668330776
2025-04-15,15.5,1.6094390311044675,1.6094390311044675
2025-04-16,10.004028320312273,0.36639588654084493,0.36639588654084493
2025-04-17,6.5,-0.42612245885362005,-0.42612245885362005
2025-04-21,9.0,0.13931128835695983,0.13931128835695983
2025-04-22,7.5,-0.19994895996938808,-0.19994895996938808
