Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-26,2.0,-0.27088796949967214,-0.27088796949967214
2025-03-31,1.875,-0.3537066996560425,-0.3537066996560425
2025-04-01,2.75,0.22602441143854987,0.22602441143854987
2025-04-02,4.25,1.2198491733149939,1.2198491733149939
2025-04-03,4.25,1.2198491733149939,1.2198491733149939
2025-04-04,10.875,5.609241871602622,5.609241871602622
2025-04-07,11.625,6.106154252540844,6.106154252540844
2025-04-08,4.375,1.3026679034713642,1.3026679034713642
2025-04-09,8.0,3.704411078006104,3.704411078006104
2025-04-14,4.375,1.3026679034713642,1.3026679034713642
2025-04-15,3.375,0.6401180622204016,0.6401180622204016
2025-04-16,3.25,0.5572993320640313,0.5572993320640313
2025-04-17,2.125,-0.18806923934330183,-0.18806923934330183
2025-04-21,2.75,0.22602441143854987,0.22602441143854987
