Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-19,2.5,-0.673541856324953,-0.673541856324953
2025-02-20,2.75,-0.5457803427873161,-0.5457803427873161
2025-02-21,3.0,-0.4180188292496792,-0.4180188292496792
2025-02-24,2.5,-0.673541856324953,-0.673541856324953
2025-02-25,5.75,0.9873578196643266,0.9873578196643266
2025-02-26,3.75,-0.03473428863676854,-0.03473428863676854
2025-03-03,4.25,0.22078873843850524,0.22078873843850524
2025-03-04,5.75,0.9873578196643266,0.9873578196643266
2025-03-05,5.0,0.604073279051416,0.604073279051416
2025-03-06,5.0,0.604073279051416,0.604073279051416
2025-03-10,6.5,1.3706423602772373,1.3706423602772373
2025-03-11,5.75,0.9873578196643266,0.9873578196643266
2025-03-14,2.75,-0.5457803427873161,-0.5457803427873161
2025-03-17,3.25,-0.29025731571204233,-0.29025731571204233
2025-03-18,3.75,-0.03473428863676854,-0.03473428863676854
2025-03-19,3.25,-0.29025731571204233,-0.29025731571204233
2025-03-20,5.25,0.7318347925890528,0.7318347925890528
2025-03-21,4.5,0.34855025197614214,0.34855025197614214
2025-03-24,2.25,-0.8013033698625899,-0.8013033698625899
2025-03-25,4.75,0.476311765513779,0.476311765513779
2025-03-26,3.25,-0.29025731571204233,-0.29025731571204233
2025-03-31,3.5,-0.16249580217440543,-0.16249580217440543
2025-04-01,4.5,0.34855025197614214,0.34855025197614214
2025-04-02,6.25,1.2428808467396004,1.2428808467396004
2025-04-03,5.25,0.7318347925890528,0.7318347925890528
2025-04-04,15.0,5.714533820556891,5.714533820556891
2025-04-07,16.0,6.225579874707439,6.225579874707439
2025-04-08,6.0,1.1151193332019635,1.1151193332019635
2025-04-09,15.5,5.970056847632165,5.970056847632165
2025-04-14,6.75,1.4984038738148742,1.4984038738148742
2025-04-15,5.25,0.7318347925890528,0.7318347925890528
2025-04-16,5.5,0.8595963061266897,0.8595963061266897
2025-04-17,3.5,-0.16249580217440543,-0.16249580217440543
2025-04-21,3.75,-0.03473428863676854,-0.03473428863676854
2025-04-22,3.75,-0.03473428863676854,-0.03473428863676854
2025-04-23,5.5,0.8595963061266897,0.8595963061266897
2025-04-24,3.5,-0.16249580217440543,-0.16249580217440543
2025-04-25,4.25,0.22078873843850524,0.22078873843850524
2025-04-28,4.5,0.34855025197614214,0.34855025197614214
2025-04-29,3.75,-0.03473428863676854,-0.03473428863676854
2025-05-01,5.0,0.604073279051416,0.604073279051416
2025-05-05,2.0,-0.9290648834002267,-0.9290648834002267
2025-05-06,3.25,-0.29025731571204233,-0.29025731571204233
2025-05-07,3.25,-0.29025731571204233,-0.29025731571204233
2025-05-08,3.25,-0.29025731571204233,-0.29025731571204233
2025-05-09,3.0,-0.4180188292496792,-0.4180188292496792
2025-05-12,8.5,2.3927344685783325,2.3927344685783325
2025-05-14,3.5,-0.16249580217440543,-0.16249580217440543
2025-05-16,3.5,-0.16249580217440543,-0.16249580217440543
2025-05-19,5.25,0.7318347925890528,0.7318347925890528
2025-05-20,4.25,0.22078873843850524,0.22078873843850524
2025-05-21,4.0,0.09302722490086834,0.09302722490086834
2025-05-22,3.0,-0.4180188292496792,-0.4180188292496792
2025-05-23,3.5,-0.16249580217440543,-0.16249580217440543
2025-05-26,2.5,-0.673541856324953,-0.673541856324953
2025-05-27,3.25,-0.29025731571204233,-0.29025731571204233
2025-05-28,2.0,-0.9290648834002267,-0.9290648834002267
2025-06-02,4.0,0.09302722490086834,0.09302722490086834
2025-06-03,3.25,-0.29025731571204233,-0.29025731571204233
2025-06-04,2.75,-0.5457803427873161,-0.5457803427873161
2025-06-05,3.0,-0.4180188292496792,-0.4180188292496792
2025-06-09,2.75,-0.5457803427873161,-0.5457803427873161
2025-06-10,4.25,0.22078873843850524,0.22078873843850524
2025-06-13,7.5,1.8816884144277848,1.8816884144277848
