Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-04-25,4.25,0.6335379776512137,0.6335379776512137
2025-04-28,5.0,1.013660764241942,1.013660764241942
2025-04-29,2.125,-0.4434765843558496,-0.4434765843558496
2025-05-01,5.5,1.2670759553024273,1.2670759553024273
2025-05-05,1.75,-0.6335379776512137,-0.6335379776512137
2025-05-06,3.0,0.0,0.0
2025-05-07,4.125,0.5701841798860923,0.5701841798860923
2025-05-08,6.75,1.9006139329536411,1.9006139329536411
2025-05-09,3.375,0.19006139329536412,0.19006139329536412
2025-05-12,2.375,-0.31676898882560683,-0.31676898882560683
2025-05-14,3.875,0.4434765843558496,0.4434765843558496
2025-05-16,3.5,0.2534151910604855,0.2534151910604855
2025-05-19,3.0,0.0,0.0
2025-05-20,2.75,-0.12670759553024274,-0.12670759553024274
2025-05-21,3.875,0.4434765843558496,0.4434765843558496
2025-05-22,2.25,-0.38012278659072823,-0.38012278659072823
2025-05-23,2.25,-0.38012278659072823,-0.38012278659072823
2025-05-26,0.625,-1.203722157537306,-1.203722157537306
2025-05-27,2.5,-0.2534151910604855,-0.2534151910604855
2025-05-28,3.125,0.06335379776512137,0.06335379776512137
2025-06-02,4.75,0.8869531687116992,0.8869531687116992
2025-06-03,2.375,-0.31676898882560683,-0.31676898882560683
2025-06-04,2.625,-0.19006139329536412,-0.19006139329536412
2025-06-05,5.75,1.3937835508326701,1.3937835508326701
2025-06-09,2.875,-0.06335379776512137,-0.06335379776512137
2025-06-10,2.5,-0.2534151910604855,-0.2534151910604855
2025-06-13,4.0,0.506830382120971,0.506830382120971
2025-06-16,2.75,-0.12670759553024274,-0.12670759553024274
2025-06-17,4.0,0.506830382120971,0.506830382120971
2025-06-18,3.75,0.38012278659072823,0.38012278659072823
2025-06-19,0.875,-1.0770145620070632,-1.0770145620070632
2025-06-20,4.625,0.8235993709465778,0.8235993709465778
2025-06-23,3.25,0.12670759553024274,0.12670759553024274
2025-06-24,2.625,-0.19006139329536412,-0.19006139329536412
2025-06-25,3.75,0.38012278659072823,0.38012278659072823
2025-06-30,2.5,-0.2534151910604855,-0.2534151910604855
2025-07-01,2.0,-0.506830382120971,-0.506830382120971
2025-07-02,2.25,-0.38012278659072823,-0.38012278659072823
2025-07-04,2.875,-0.06335379776512137,-0.06335379776512137
2025-07-07,1.5,-0.7602455731814565,-0.7602455731814565
2025-07-08,1.0,-1.013660764241942,-1.013660764241942
2025-07-09,2.875,-0.06335379776512137,-0.06335379776512137
2025-07-10,1.125,-0.9503069664768206,-0.9503069664768206
2025-07-11,1.625,-0.6968917754163351,-0.6968917754163351
2025-07-14,2.75,-0.12670759553024274,-0.12670759553024274
2025-07-17,1.75,-0.6335379776512137,-0.6335379776512137
2025-07-18,2.0,-0.506830382120971,-0.506830382120971
2025-07-21,1.125,-0.9503069664768206,-0.9503069664768206
2025-07-22,1.125,-0.9503069664768206,-0.9503069664768206
2025-07-23,2.875,-0.06335379776512137,-0.06335379776512137
2025-07-24,1.5,-0.7602455731814565,-0.7602455731814565
2025-07-25,2.375,-0.31676898882560683,-0.31676898882560683
2025-07-28,1.0,-1.013660764241942,-1.013660764241942
2025-07-29,2.625,-0.19006139329536412,-0.19006139329536412
2025-08-04,3.0,0.0,0.0
2025-08-05,2.25,-0.38012278659072823,-0.38012278659072823
2025-08-06,1.75,-0.6335379776512137,-0.6335379776512137
2025-08-07,1.25,-0.8869531687116992,-0.8869531687116992
2025-08-08,0.875,-1.0770145620070632,-1.0770145620070632
2025-08-11,1.875,-0.5701841798860923,-0.5701841798860923
2025-08-13,1.625,-0.6968917754163351,-0.6968917754163351
2025-08-15,2.75,-0.12670759553024274,-0.12670759553024274
